Composition,U(Sc),U(Ti),U(V),U(Cr),U(Mn),U(Fe),U(Co),U(Ni),U(Cu),U(Zn),SCAN+rvv10+U Total E (eV),Expt. Formation Energy 298.15K (eV),Notes
Cr8Cu4O16,,,,0.0,,,,,0.0,,-360.93082,-53.616,
Cr8Cu4O16,,,,0.0,,,,,0.5,,-360.23646,-53.616,
Cr8Cu4O16,,,,0.0,,,,,1.0,,-359.55141,-53.616,
Cr8Cu4O16,,,,0.5,,,,,0.0,,-358.54836,-53.616,
Cr8Cu4O16,,,,0.5,,,,,0.5,,-357.86294,-53.616,
Cr8Cu4O16,,,,0.5,,,,,1.0,,-357.2029,-53.616,
Cr8Cu4O16,,,,1.0,,,,,0.0,,-356.30552,-53.616,
Cr8Cu4O16,,,,1.0,,,,,0.5,,-355.57155,-53.616,
Cr8Cu4O16,,,,1.0,,,,,1.0,,-354.91942,-53.616,
Cr16Co8O32,,,,0.0,,,2.5,,,,-744.82406,-118.752,
Cr16Co8O32,,,,0.0,,,3.0,,,,-743.90645,-118.752,
Cr16Co8O32,,,,0.0,,,3.5,,,,-743.04367,-118.752,
Cr16Co8O32,,,,0.5,,,2.5,,,,-740.35028,-118.752,
Cr16Co8O32,,,,0.5,,,3.0,,,,-739.43934,-118.752,
Cr16Co8O32,,,,0.5,,,3.5,,,,-738.58225,-118.752,
Cr16Co8O32,,,,1.0,,,2.5,,,,-736.02296,-118.752,
Cr16Co8O32,,,,1.0,,,3.0,,,,-735.07101,-118.752,
Cr16Co8O32,,,,1.0,,,3.5,,,,-734.22848,-118.752,
Fe3Cu3O6,,,,,,2.6,,,0.0,,-146.91029,-15.951,
Fe3Cu3O6,,,,,,2.6,,,0.5,,-146.23933,-15.951,
Fe3Cu3O6,,,,,,2.6,,,1.0,,-145.56426,-15.951,
Fe3Cu3O6,,,,,,3.1,,,0.0,,-146.43914,-15.951,
Fe3Cu3O6,,,,,,3.1,,,0.5,,-145.76895,-15.951,
Fe3Cu3O6,,,,,,3.1,,,1.0,,-145.10736,-15.951,
Fe3Cu3O6,,,,,,3.6,,,0.0,,-145.98276,-15.951,
Fe3Cu3O6,,,,,,3.6,,,0.5,,-145.31327,-15.951,
Fe3Cu3O6,,,,,,3.6,,,1.0,,-144.64925,-15.951,
Cr16Fe8O32,,,,0.0,,2.6,,,,,-750.38812,-119.928,
Cr16Fe8O32,,,,0.0,,3.1,,,,,-749.49371,-119.928,
Cr16Fe8O32,,,,0.0,,3.6,,,,,-748.55293,-119.928,
Cr16Fe8O32,,,,0.5,,2.6,,,,,-746.14291,-119.928,
Cr16Fe8O32,,,,0.5,,3.1,,,,,-745.0725,-119.928,
Cr16Fe8O32,,,,0.5,,3.6,,,,,-744.09969,-119.928,
Cr16Fe8O32,,,,1.0,,2.6,,,,,-741.81547,-119.928,
Cr16Fe8O32,,,,1.0,,3.1,,,,,-740.71705,-119.928,
Cr16Fe8O32,,,,1.0,,3.6,,,,,-739.8242,-119.928,
Cr16Ni8O32,,,,0.0,,,,2.0,,,-731.67975,-114.064,
Cr16Ni8O32,,,,0.0,,,,2.5,,,-730.57226,-114.064,
Cr16Ni8O32,,,,0.0,,,,3.0,,,-729.52454,-114.064,
Cr16Ni8O32,,,,0.5,,,,2.0,,,-727.28998,-114.064,
Cr16Ni8O32,,,,0.5,,,,2.5,,,-726.19404,-114.064,
Cr16Ni8O32,,,,0.5,,,,3.0,,,-725.14195,-114.064,
Cr16Ni8O32,,,,1.0,,,,2.0,,,-722.9875,-114.064,
Cr16Ni8O32,,,,1.0,,,,2.5,,,-721.89222,-114.064,
Cr16Ni8O32,,,,1.0,,,,3.0,,,-720.84981,-114.064,
Mn2Fe4O8,,,,,2.0,2.6,,,,,-173.08113,,
Mn2Fe4O8,,,,,2.0,3.1,,,,,-171.98576,,
Mn2Fe4O8,,,,,2.0,3.6,,,,,,,
Mn2Fe4O8,,,,,2.5,2.6,,,,,,,
Mn2Fe4O8,,,,,2.5,3.1,,,,,-172.33695,,
Mn2Fe4O8,,,,,2.5,3.6,,,,,-172.10451,,
Mn2Fe4O8,,,,,3.0,2.6,,,,,-171.3957,,
Mn2Fe4O8,,,,,3.0,3.1,,,,,,,
Mn2Fe4O8,,,,,3.0,3.6,,,,,,,
Mn2Fe4O8,,,,,3.5,2.6,,,,,-171.30893,,
Mn2Fe4O8,,,,,3.5,3.1,,,,,-170.10356,,
Mn2Fe4O8,,,,,3.5,3.6,,,,,-170.10653,,
Li40Fe8O32,,,,,,0.5,,,,,-588.62366,-163.2,
Li40Fe8O32,,,,,,1.0,,,,,-586.71616,-163.2,
Li40Fe8O32,,,,,,1.5,,,,,-584.86224,-163.2,
Li40Fe8O32,,,,,,3.1,,,,,-579.24671,-163.2,
Li4Fe20O32,,,,,,1.0,,,,,-649.17183,-100.8,
Li4Fe20O32,,,,,,1.5,,,,,-645.7083,-100.8,
Li4Fe20O32,,,,,,2.5,,,,,-639.06877,-100.8,
Li4Fe20O32,,,,,,3.1,,,,,-635.14207,-100.8,
Li4Fe20O32,,,,,,3.5,,,,,-632.8081,-100.8,
Li4Fe20O32,,,,,,4,,,,,-629.81844,-100.8,
Li4Fe4O8,,,,,,0.5,,,,,-158.98722,-31.04,
Li4Fe4O8,,,,,,1.0,,,,,-157.81366,-31.04,
Li4Fe4O8,,,,,,3.0,,,,,-156.29897,-31.04,
Li4Fe4O8,,,,,,3.5,,,,,-155.65353,-31.04,
Ti2Ni2O6,,2.0,,,,,,2.0,,,-121.78194,-24.918,
Ti2Ni2O6,,2.0,,,,,,2.5,,,-121.49874,-24.918,
Ti2Ni2O6,,2.0,,,,,,3.0,,,-121.24454,-24.918,
Ti2Ni2O6,,2.5,,,,,,2.0,,,-121.13283,-24.918,
Ti2Ni2O6,,2.5,,,,,,2.5,,,-120.83449,-24.918,
Ti2Ni2O6,,2.5,,,,,,3.0,,,-120.56308,-24.918,
Ti2Ni2O6,,3.0,,,,,,2.0,,,-120.46047,-24.918,
Ti2Ni2O6,,3.0,,,,,,2.5,,,-120.19229,-24.918,
Ti2Ni2O6,,3.0,,,,,,3.0,,,-119.90761,-24.918,
Ti2Mn2O6,,2.0,,,2.2,,,,,,-129.44167,-28.17,
Ti2Mn2O6,,2.0,,,2.7,,,,,,-129.2282,-28.17,
Ti2Mn2O6,,2.0,,,3.2,,,,,,-129.0143,-28.17,
Ti2Mn2O6,,2.5,,,2.2,,,,,,-128.78034,-28.17,
Ti2Mn2O6,,2.5,,,2.7,,,,,,-128.56703,-28.17,
Ti2Mn2O6,,2.5,,,3.2,,,,,,-128.35423,-28.17,
Ti2Mn2O6,,3.0,,,2.2,,,,,,-128.13191,-28.17,
Ti2Mn2O6,,3.0,,,2.7,,,,,,-127.91113,-28.17,
Ti2Mn2O6,,3.0,,,3.2,,,,,,-127.70285,-28.17,
Ti2Co2O6,,2.0,,,,,2.5,,,,-123.8737,-25.03,
Ti2Co2O6,,2.0,,,,,3.0,,,,-123.66836,-25.03,
Ti2Co2O6,,2.0,,,,,3.5,,,,-123.43754,-25.03,
Ti2Co2O6,,2.5,,,,,2.5,,,,-123.20984,-25.03,
Ti2Co2O6,,2.5,,,,,3.0,,,,-123.0087,-25.03,
Ti2Co2O6,,2.5,,,,,3.5,,,,-122.82055,-25.03,
Ti2Co2O6,,3.0,,,,,2.5,,,,-122.55431,-25.03,
Ti2Co2O6,,3.0,,,,,3.0,,,,-122.30037,-25.03,
Ti2Co2O6,,3.0,,,,,3.5,,,,-122.16577,-25.03,
Cr16Ni8O32,,,,0.0,,,,2.0,,,-731.67975,-114.064,
Cr16Ni8O32,,,,0.0,,,,2.5,,,-730.69225,-114.064,
Cr16Ni8O32,,,,0.5,,,,2.5,,,-726.19404,-114.064,
Cr16Ni8O32,,,,1.0,,,,2.0,,,-722.9875,-114.064,
Cr16Ni8O32,,,,1.0,,,,3.0,,,-720.84981,-114.064,
Al4Ni2O8,,,,,,,,1.5,,,-149.45975,-39.808,
Al4Ni2O8,,,,,,,,2.0,,,-149.18761,-39.808,
Al4Ni2O8,,,,,,,,3.0,,,-147.68415,-39.808,
Al4Ni2O8,,,,,,,,3.5,,,-148.34986,-39.808,
Al4Ni2O8,,,,,,,,4.0,,,-147.14974,-39.808,
Ti4Mn8O16,,2.0,,,2.2,,,,,,-368.63891,-72.548,
Ti4Mn8O16,,2.0,,,2.7,,,,,,-367.76622,-72.548,
Ti4Mn8O16,,2.0,,,3.2,,,,,,-366.91195,-72.548,
Ti4Mn8O16,,2.5,,,2.2,,,,,,-367.34808,-72.548,
Ti4Mn8O16,,2.5,,,2.7,,,,,,-366.4775,-72.548,
Ti4Mn8O16,,2.5,,,3.2,,,,,,-365.62496,-72.548,
Ti4Mn8O16,,3.0,,,2.2,,,,,,-366.08841,-72.548,
Ti4Mn8O16,,3.0,,,2.7,,,,,,-365.20399,-72.548,
Ti4Mn8O16,,3.0,,,3.2,,,,,,-364.35255,-72.548,
